Exposure;LicAge;RecordBeg;RecordEnd;Gender;MariStat;SocioCateg;VehUsage;DrivAge;HasKmLimit;ClaimAmount;ClaimNbResp;ClaimNbNonResp;ClaimNbParking;ClaimNbFireTheft;ClaimNbWindscreen;OutUseNb;RiskArea;BonusMalus;ClaimInd;ObtLic
0.083;332;01/01/2004;01/02/2004;Male;Other;CSP50;Professional;46;0;0;0;1;0;0;0;0;9;50;0;19
0.916;333;01/02/2004;NA;Male;Other;CSP50;Professional;46;0;0;0;1;0;0;0;0;9;50;0;19
0.55;173;15/05/2004;03/12/2004;Male;Other;CSP50;Private+trip to office;32;0;0;0;2;0;0;0;0;7;68;0;18
0.089;364;29/11/2004;NA;Female;Other;CSP55;Private+trip to office;52;0;0;0;0;0;0;0;0;8;50;0;22
0.233;426;07/02/2004;01/05/2004;Male;Other;CSP60;Private;57;0;0;0;0;0;0;0;0;7;50;0;22
0.666;429;01/05/2004;NA;Male;Other;CSP60;Private;57;0;0;0;0;0;0;0;0;7;50;0;22
0.08;461;02/04/2004;01/05/2004;Male;Other;CSP48;Professional;58;0;0;0;1;0;0;2;1;5;50;0;20
0.666;462;01/05/2004;NA;Male;Other;CSP48;Professional;58;0;0;0;1;0;0;2;1;5;50;0;20
0.173;405;29/10/2004;NA;Female;Other;CSP50;Private+trip to office;53;0;0;0;0;0;0;0;0;10;50;0;20
0.474;386;01/01/2004;22/06/2004;Male;Other;CSP55;Private+trip to office;57;0;0;0;0;0;0;1;0;6;50;0;25
0.525;391;22/06/2004;NA;Male;Other;CSP55;Private+trip to office;57;0;0;0;0;0;0;1;0;6;50;0;25
0.341;166;01/01/2004;04/05/2004;Male;Other;CSP50;Private+trip to office;32;0;0;0;0;0;0;0;0;7;50;0;19
0.049;170;04/05/2004;22/05/2004;Male;Other;CSP50;Private+trip to office;33;0;0;0;0;0;0;0;0;7;50;0;19
0.609;170;22/05/2004;NA;Male;Other;CSP50;Private+trip to office;33;0;0;0;0;0;0;0;0;7;50;0;19
0.039;362;17/12/2004;NA;Male;Other;CSP50;Private+trip to office;48;0;0;0;0;1;0;0;0;7;50;0;18
0.416;351;01/01/2004;01/06/2004;Male;Other;CSP50;Private+trip to office;47;0;0;0;0;1;0;0;0;7;50;0;18
0.543;356;01/06/2004;17/12/2004;Male;Other;CSP50;Private+trip to office;48;0;0;0;0;1;0;0;0;7;50;0;19
0.106;357;23/11/2004;NA;Female;Other;CSP50;Private+trip to office;48;0;0;0;0;0;0;0;0;7;50;0;19
0.155;302;05/11/2004;NA;Male;Other;CSP50;Private+trip to office;43;0;0;0;0;0;0;2;0;7;50;0;18
0.155;279;05/06/2004;01/08/2004;Female;Other;CSP50;Private+trip to office;51;0;0;0;0;0;0;0;0;7;50;0;28
0.416;281;01/08/2004;NA;Female;Other;CSP50;Private+trip to office;51;0;0;0;0;0;0;0;0;7;50;0;28
0.23;319;08/10/2004;NA;Male;Other;CSP55;Private+trip to office;45;0;0;0;0;0;0;0;0;6;50;0;19
0.672;490;06/01/2004;08/09/2004;Male;Other;CSP60;Private;61;0;0;0;0;0;0;0;0;6;50;0;21
0.314;498;08/09/2004;NA;Male;Other;CSP60;Private;62;0;0;0;0;0;0;0;0;6;50;0;21
0.256;335;29/09/2004;NA;Male;Other;CSP55;Private+trip to office;48;0;0;1;0;0;0;0;0;8;50;0;21
0.359;485;22/04/2004;01/09/2004;Female;Other;CSP50;Private;58;0;0;1;0;0;0;1;0;10;50;0;18
0.161;370;03/08/2004;01/10/2004;Female;Other;CSP60;Private;69;0;0;0;0;0;0;0;0;9;50;0;39
0.233;502;07/05/2004;01/08/2004;Male;Other;CSP50;Private+trip to office;62;0;0;1;0;0;0;0;0;10;92;0;21
0.416;505;01/08/2004;NA;Male;Other;CSP50;Private+trip to office;62;0;0;1;0;0;0;0;0;10;87;0;20
0.083;587;01/09/2004;01/10/2004;Male;Other;CSP60;Private;68;0;0;0;0;0;0;0;0;2;50;0;20
0.249;588;01/10/2004;NA;Male;Other;CSP60;Private;68;0;0;0;0;0;0;0;0;2;50;0;19
0.617;602;19/05/2004;NA;Male;Other;CSP60;Private;68;0;5377.20453172205;1;0;1;0;1;0;4;50;1;18
0.761;357;01/01/2004;05/10/2004;Female;Alone;CSP55;Private+trip to office;47;0;2017.84350453172;0;1;0;0;0;0;6;50;1;18
0.238;366;05/10/2004;NA;Female;Alone;CSP55;Private+trip to office;48;0;0;1;1;0;0;0;0;6;50;0;18
0.598;343;26/02/2004;01/10/2004;Female;Other;CSP50;Private+trip to office;56;0;0;0;0;0;0;1;0;7;50;0;28
0.249;351;01/10/2004;NA;Female;Other;CSP50;Private+trip to office;57;0;0;0;0;0;0;1;0;7;50;0;28
0.75;603;01/01/2004;01/10/2004;Male;Other;CSP60;Private;77;0;0;0;0;0;0;0;1;6;50;0;27
