"Exposure","LicAge","RecordBeg","RecordEnd","Gender","MariStat","SocioCateg","VehUsage","DrivAge","HasKmLimit","ClaimAmount","ClaimNbResp","ClaimNbNonResp","ClaimNbParking","ClaimNbFireTheft","ClaimNbWindscreen","OutUseNb","RiskArea","BonusMalus","ClaimInd"
0.083,332,2004-01-01,2004-02-01,"Male","Other","CSP50","Professional",46,0,0,0,1,0,0,0,0,9,50,0
0.916,333,2004-02-01,NA,"Male","Other","CSP50","Professional",46,0,0,0,1,0,0,0,0,9,50,0
0.55,173,2004-05-15,2004-12-03,"Male","Other","CSP50","Private+trip to office",32,0,0,0,2,0,0,0,0,7,68,0
0.089,364,2004-11-29,NA,"Female","Other","CSP55","Private+trip to office",52,0,0,0,0,0,0,0,0,8,50,0
0.233,426,2004-02-07,2004-05-01,"Male","Other","CSP60","Private",57,0,0,0,0,0,0,0,0,7,50,0
0.666,429,2004-05-01,NA,"Male","Other","CSP60","Private",57,0,0,0,0,0,0,0,0,7,50,0
0.08,461,2004-04-02,2004-05-01,"Male","Other","CSP48","Professional",58,0,0,0,1,0,0,2,1,5,50,0
0.666,462,2004-05-01,NA,"Male","Other","CSP48","Professional",58,0,0,0,1,0,0,2,1,5,50,0
0.173,405,2004-10-29,NA,"Female","Other","CSP50","Private+trip to office",53,0,0,0,0,0,0,0,0,10,50,0
0.474,386,2004-01-01,2004-06-22,"Male","Other","CSP55","Private+trip to office",57,0,0,0,0,0,0,1,0,6,50,0
0.525,391,2004-06-22,NA,"Male","Other","CSP55","Private+trip to office",57,0,0,0,0,0,0,1,0,6,50,0
0.341,166,2004-01-01,2004-05-04,"Male","Other","CSP50","Private+trip to office",32,0,0,0,0,0,0,0,0,7,50,0
0.049,170,2004-05-04,2004-05-22,"Male","Other","CSP50","Private+trip to office",33,0,0,0,0,0,0,0,0,7,50,0
0.609,170,2004-05-22,NA,"Male","Other","CSP50","Private+trip to office",33,0,0,0,0,0,0,0,0,7,50,0
0.039,362,2004-12-17,NA,"Male","Other","CSP50","Private+trip to office",48,0,0,0,0,1,0,0,0,7,50,0
0.416,351,2004-01-01,2004-06-01,"Male","Other","CSP50","Private+trip to office",47,0,0,0,0,1,0,0,0,7,50,0
0.543,356,2004-06-01,2004-12-17,"Male","Other","CSP50","Private+trip to office",48,0,0,0,0,1,0,0,0,7,50,0
0.106,357,2004-11-23,NA,"Female","Other","CSP50","Private+trip to office",48,0,0,0,0,0,0,0,0,7,50,0
0.5,328,2004-01-01,2004-07-01,"Female","Other","CSP6","Professional run",53,0,0,2,0,0,0,0,0,7,50,0
0.499,334,2004-07-01,NA,"Female","Other","CSP6","Professional run",53,0,0,2,0,0,0,0,0,7,60,0
0.155,302,2004-11-05,NA,"Male","Other","CSP50","Private+trip to office",43,0,0,0,0,0,0,2,0,7,50,0
0.155,279,2004-06-05,2004-08-01,"Female","Other","CSP50","Private+trip to office",51,0,0,0,0,0,0,0,0,7,50,0
0.416,281,2004-08-01,NA,"Female","Other","CSP50","Private+trip to office",51,0,0,0,0,0,0,0,0,7,50,0
0.23,319,2004-10-08,NA,"Male","Other","CSP55","Private+trip to office",45,0,0,0,0,0,0,0,0,6,50,0
0.672,490,2004-01-06,2004-09-08,"Male","Other","CSP60","Private",61,0,0,0,0,0,0,0,0,6,50,0
0.314,498,2004-09-08,NA,"Male","Other","CSP60","Private",62,0,0,0,0,0,0,0,0,6,50,0
0.256,335,2004-09-29,NA,"Male","Other","CSP55","Private+trip to office",48,0,0,1,0,0,0,0,0,8,50,0
0.359,485,2004-04-22,2004-09-01,"Female","Other","CSP50","Private",58,0,0,1,0,0,0,1,0,10,50,0
0.161,370,2004-08-03,2004-10-01,"Female","Other","CSP60","Private",69,0,0,0,0,0,0,0,0,9,50,0
0.233,502,2004-05-07,2004-08-01,"Male","Other","CSP50","Private+trip to office",62,0,0,1,0,0,0,0,0,10,92,0
0.416,505,2004-08-01,NA,"Male","Other","CSP50","Private+trip to office",62,0,0,1,0,0,0,0,0,10,87,0
0.083,587,2004-09-01,2004-10-01,"Male","Other","CSP60","Private",68,0,0,0,0,0,0,0,0,2,50,0
